p_warn;dens;dscr;val
25;real;ticks;365
25;real;sum_newip;2392
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2146
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2158
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2234
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2140
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2255
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2237
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2329
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2261
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2282
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2240
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2307
25;real;sum_trltls;858
25;real;ticks;365
25;real;sum_newip;2249
25;real;sum_trltls;858
25;real;ticks;365
25;sim_15;sum_newip;1487
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1672
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1503
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1399
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1278
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1439
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1433
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1494
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1498
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1854
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1713
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1427
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1604
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1557
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1500
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1480
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1692
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1498
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1615
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1713
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1705
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1782
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_15;sum_newip;1506
25;sim_15;sum_trltls;858
25;sim_15;ticks;365
25;sim_45;sum_newip;3696
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3755
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3653
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3749
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3647
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3641
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3690
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3651
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3538
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3717
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3596
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3648
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3724
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3669
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3616
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3520
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3748
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3574
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3513
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
25;sim_45;sum_newip;3618
25;sim_45;sum_trltls;858
25;sim_45;ticks;365
50;real;sum_newip;1275
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1319
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1209
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1232
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1242
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1304
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1284
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1290
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1398
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1207
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1273
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1256
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1268
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1223
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1362
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1217
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1271
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1276
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1374
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1245
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1286
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1195
50;real;sum_trltls;858
50;real;ticks;365
50;real;sum_newip;1209
50;real;sum_trltls;858
50;real;ticks;365
50;sim_15;sum_newip;40
50;sim_15;sum_trltls;858
50;sim_15;ticks;45
50;sim_15;sum_newip;20
50;sim_15;sum_trltls;858
50;sim_15;ticks;28
50;sim_15;sum_newip;66
50;sim_15;sum_trltls;858
50;sim_15;ticks;42
50;sim_15;sum_newip;73
50;sim_15;sum_trltls;858
50;sim_15;ticks;73
50;sim_15;sum_newip;21
50;sim_15;sum_trltls;858
50;sim_15;ticks;25
50;sim_15;sum_newip;2
50;sim_15;sum_trltls;858
50;sim_15;ticks;12
50;sim_15;sum_newip;32
50;sim_15;sum_trltls;858
50;sim_15;ticks;43
50;sim_15;sum_newip;25
50;sim_15;sum_trltls;858
50;sim_15;ticks;38
50;sim_15;sum_newip;84
50;sim_15;sum_trltls;858
50;sim_15;ticks;72
50;sim_15;sum_newip;33
50;sim_15;sum_trltls;858
50;sim_15;ticks;52
50;sim_15;sum_newip;23
50;sim_15;sum_trltls;858
50;sim_15;ticks;31
50;sim_15;sum_newip;49
50;sim_15;sum_trltls;858
50;sim_15;ticks;57
50;sim_15;sum_newip;21
50;sim_15;sum_trltls;858
50;sim_15;ticks;18
50;sim_15;sum_newip;21
50;sim_15;sum_trltls;858
50;sim_15;ticks;37
50;sim_15;sum_newip;37
50;sim_15;sum_trltls;858
50;sim_15;ticks;38
50;sim_15;sum_newip;56
50;sim_15;sum_trltls;858
50;sim_15;ticks;37
50;sim_15;sum_newip;70
50;sim_15;sum_trltls;858
50;sim_15;ticks;49
50;sim_15;sum_newip;59
50;sim_15;sum_trltls;858
50;sim_15;ticks;30
50;sim_15;sum_newip;5
50;sim_15;sum_trltls;858
50;sim_15;ticks;12
50;sim_15;sum_newip;7
50;sim_15;sum_trltls;858
50;sim_15;ticks;17
50;sim_15;sum_newip;21
50;sim_15;sum_trltls;858
50;sim_15;ticks;21
50;sim_15;sum_newip;29
50;sim_15;sum_trltls;858
50;sim_15;ticks;50
50;sim_45;sum_newip;2324
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2232
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2266
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2214
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2096
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2218
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2210
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2215
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2340
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2349
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2213
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2280
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2210
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2324
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2228
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2306
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2229
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2202
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2285
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2113
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2111
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2217
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2195
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2241
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2156
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2261
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2189
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2310
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2230
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
50;sim_45;sum_newip;2357
50;sim_45;sum_trltls;858
50;sim_45;ticks;365
75;real;sum_newip;76
75;real;sum_trltls;858
75;real;ticks;102
75;real;sum_newip;13
75;real;sum_trltls;858
75;real;ticks;27
75;real;sum_newip;86
75;real;sum_trltls;858
75;real;ticks;99
75;real;sum_newip;128
75;real;sum_trltls;858
75;real;ticks;105
75;real;sum_newip;109
75;real;sum_trltls;858
75;real;ticks;87
75;real;sum_newip;82
75;real;sum_trltls;858
75;real;ticks;89
75;real;sum_newip;233
75;real;sum_trltls;858
75;real;ticks;230
75;real;sum_newip;55
75;real;sum_trltls;858
75;real;ticks;57
75;real;sum_newip;75
75;real;sum_trltls;858
75;real;ticks;88
75;real;sum_newip;225
75;real;sum_trltls;858
75;real;ticks;204
75;real;sum_newip;177
75;real;sum_trltls;858
75;real;ticks;179
75;real;sum_newip;27
75;real;sum_trltls;858
75;real;ticks;25
75;real;sum_newip;274
75;real;sum_trltls;858
75;real;ticks;231
75;real;sum_newip;43
75;real;sum_trltls;858
75;real;ticks;35
75;real;sum_newip;74
75;real;sum_trltls;858
75;real;ticks;73
75;real;sum_newip;252
75;real;sum_trltls;858
75;real;ticks;192
75;real;sum_newip;13
75;real;sum_trltls;858
75;real;ticks;21
75;real;sum_newip;10
75;real;sum_trltls;858
75;real;ticks;19
75;real;sum_newip;270
75;real;sum_trltls;858
75;real;ticks;213
75;real;sum_newip;30
75;real;sum_trltls;858
75;real;ticks;43
75;real;sum_newip;92
75;real;sum_trltls;858
75;real;ticks;94
75;real;sum_newip;109
75;real;sum_trltls;858
75;real;ticks;89
75;real;sum_newip;109
75;real;sum_trltls;858
75;real;ticks;89
75;real;sum_newip;49
75;real;sum_trltls;858
75;real;ticks;47
75;real;sum_newip;6
75;real;sum_trltls;858
75;real;ticks;14
75;real;sum_newip;174
75;real;sum_trltls;858
75;real;ticks;137
75;real;sum_newip;221
75;real;sum_trltls;858
75;real;ticks;208
75;sim_15;sum_newip;12
75;sim_15;sum_trltls;858
75;sim_15;ticks;21
75;sim_15;sum_newip;2
75;sim_15;sum_trltls;858
75;sim_15;ticks;13
75;sim_15;sum_newip;5
75;sim_15;sum_trltls;858
75;sim_15;ticks;15
75;sim_15;sum_newip;0
75;sim_15;sum_trltls;858
75;sim_15;ticks;6
75;sim_15;sum_newip;10
75;sim_15;sum_trltls;858
75;sim_15;ticks;12
75;sim_15;sum_newip;5
75;sim_15;sum_trltls;858
75;sim_15;ticks;18
75;sim_15;sum_newip;0
75;sim_15;sum_trltls;858
75;sim_15;ticks;6
75;sim_15;sum_newip;7
75;sim_15;sum_trltls;858
75;sim_15;ticks;14
75;sim_15;sum_newip;6
75;sim_15;sum_trltls;858
75;sim_15;ticks;18
75;sim_15;sum_newip;3
75;sim_15;sum_trltls;858
75;sim_15;ticks;13
75;sim_15;sum_newip;1
75;sim_15;sum_trltls;858
75;sim_15;ticks;8
75;sim_15;sum_newip;7
75;sim_15;sum_trltls;858
75;sim_15;ticks;23
75;sim_15;sum_newip;4
75;sim_15;sum_trltls;858
75;sim_15;ticks;17
75;sim_15;sum_newip;16
75;sim_15;sum_trltls;858
75;sim_15;ticks;33
75;sim_15;sum_newip;7
75;sim_15;sum_trltls;858
75;sim_15;ticks;11
75;sim_15;sum_newip;8
75;sim_15;sum_trltls;858
75;sim_15;ticks;22
75;sim_15;sum_newip;9
75;sim_15;sum_trltls;858
75;sim_15;ticks;17
75;sim_15;sum_newip;14
75;sim_15;sum_trltls;858
75;sim_15;ticks;20
75;sim_15;sum_newip;0
75;sim_15;sum_trltls;858
75;sim_15;ticks;6
75;sim_15;sum_newip;14
75;sim_15;sum_trltls;858
75;sim_15;ticks;19
75;sim_15;sum_newip;1
75;sim_15;sum_trltls;858
75;sim_15;ticks;13
75;sim_15;sum_newip;4
75;sim_15;sum_trltls;858
75;sim_15;ticks;16
75;sim_15;sum_newip;0
75;sim_15;sum_trltls;858
75;sim_15;ticks;6
75;sim_15;sum_newip;13
75;sim_15;sum_trltls;858
75;sim_15;ticks;25
75;sim_15;sum_newip;4
75;sim_15;sum_trltls;858
75;sim_15;ticks;13
75;sim_45;sum_newip;188
75;sim_45;sum_trltls;858
75;sim_45;ticks;106
75;sim_45;sum_newip;169
75;sim_45;sum_trltls;858
75;sim_45;ticks;103
75;sim_45;sum_newip;12
75;sim_45;sum_trltls;858
75;sim_45;ticks;15
75;sim_45;sum_newip;255
75;sim_45;sum_trltls;858
75;sim_45;ticks;206
75;sim_45;sum_newip;105
